componentTypeName,componentTypeId,specTypeId,specTypeName,units,valueType,specCategory,description,min,max,options,alternateNames,alternateUnits
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,85f1f6d5-6b76-4a39-bd2a-6947f22e4a9b,Air Flow Capacity,CFM,NUMERIC,UNKNOWN,Air Flow Capacity,,,,[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,574283d0-b30a-49f0-9f57-c4b4d49fa931,Air Flow Monitor,,SELECT,UNKNOWN,Air Flow Monitor,,,"[""Yes"",""No""]",[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,7f092ece-aa7b-486e-9d79-49e4a5df963e,Ambient Air Temp,°F,NUMERIC,UNKNOWN,The temperature of the surrounding air,,,,"[""Surrounding Air Temperature"",""External Air Temperature""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,03011517-537a-4b7a-80d3-6deaa1d7e988,BAS Card,,SELECT,UNKNOWN,BAS Card,,,"[""Yes"",""No""]",[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,e3040de4-b368-4da0-9087-87790038eb0e,Cooling Capacity,BTU/h,NUMERIC,UNKNOWN,Cooling Capacity,,,,[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,65f071cc-7fe8-415c-b3dd-f9bfb4b57b76,Design Air Dry Bulb Relative Humidity,%,NUMERIC,UNKNOWN,The relative humidity for which the system is designed,0,100,,"[""Specified Humidity"",""Relative Humidity Design""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,9f33ee0f-fcdd-4a0e-a4b6-b5f9e56bbd43,Design Air Dry Bulb Temp,°F,NUMERIC,UNKNOWN,The dry bulb temperature for which the system is designed,,,,"[""Specified Dry Bulb Temperature"",""Dry Bulb Temperature Design""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,4fb5c6ec-becb-40ee-9b46-129b507a41b3,Design Airflow Rate,CFM,NUMERIC,UNKNOWN,"Airflow rate designed for optimal performance, in cubic feet per minute",,,,"[""Specified Air Flow"",""Airflow Specification""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,b14e32e9-9255-47a1-9c5e-db82eab5f1d8,Dimensions,in,NUMERIC,UNKNOWN,Dimensions,,,,[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,2e41a378-b18b-463a-b3f0-f4c8b426caff,Economizer,,SELECT,UNKNOWN,Economizer,,,"[""Yes"",""No""]",[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,71ab5856-2918-40e8-aaf9-8b6a61054278,Electrical Requirements,V,NUMERIC,UNKNOWN,Electrical Requirements,,,,[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,30f65be1-5222-4c4e-b758-61b88991f250,Energy Efficiency,EER,NUMERIC,UNKNOWN,Energy Efficiency,,,,[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,711767c0-f9cd-429d-86a7-69b9b290cbc5,Entering Dry Bulb Temp,°F,NUMERIC,UNKNOWN,"Temperature of air entering the system, in Fahrenheit",,,,"[""Inlet Air Temperature"",""Incoming Dry Bulb Temperature""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,a47c35eb-c362-4f3d-84e6-015d13133d21,Evaporator Cooling,,SELECT,UNKNOWN,Evaporator Cooling,,,"[""Yes"",""No""]",[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,2fd72dc8-b0fc-45ff-8c22-1063af05bf08,Fan Power,HP,NUMERIC,UNKNOWN,Fan Power,,,,[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,2af507b1-fc22-48db-bfb3-4e2c9acf0e8e,Filter Efficiency,MERV,NUMERIC,UNKNOWN,Filter Efficiency,,,,[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,78ddd8ec-50de-41d7-8b2c-2cf45a12e61c,Heating Capacity,MBH,NUMERIC,UNKNOWN,Heating capacity in thousands of BTU per hour,,,,"[""Furnace Capacity"",""Heater Output""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,5df800c2-c448-4e42-bd9a-60062c15121d,Heat Recovery,,SELECT,UNKNOWN,Heat Recovery,,,"[""Yes"",""No""]",[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,1aebfe83-c198-44a9-bb72-4f85beb3d613,HEPA Filter,,SELECT,UNKNOWN,HEPA Filter,,,"[""MERV-6"",""MERV-8"",""MERV-11"",""MERV-13""]",[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,92134c46-3d34-45df-841d-0c225357f42b,Humidfier,,SELECT,UNKNOWN,Humidfier,,,"[""Yes"",""No""]",[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,3136c288-3385-4b09-857a-3654a1c03808,Humidification Capacity,Lbs / Hr,NUMERIC,UNKNOWN,"Capacity of humidifier, in pounds per hour",,,,"[""Moisture Output Rate"",""Humidifier Performance""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,74d2aea4-5269-48e4-8c62-7f5c7906d954,Humidity Control Range,%RH,NUMERIC,UNKNOWN,Humidity Control Range,,,,[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,0d577685-693c-42b3-95e6-332d5f2f5ddf,Leaving Dry Bulb Temp,°F,NUMERIC,UNKNOWN,"Temperature of air after it has passed through the system, in Fahrenheit",,,,"[""Exit Air Temperature"",""Outgoing Dry Bulb Temperature""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,f4264383-606f-4a71-8b48-23d526268340,Location,,SELECT,UNKNOWN,Location,,,"[""Indoor"",""Outdoor""]",[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,87848f93-34e4-48e5-8f04-79ae873f294c,Number of Fans,,NUMERIC,UNKNOWN,The number of fans present in the system,1,,,"[""Fan Count"",""Blower Quantity""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,cc921e3c-6428-424e-a504-6371cff577ce,Outside Air Bulb Relative Humidity,%,NUMERIC,UNKNOWN,Relative humidity of the outside air,0,100,,"[""External Humidity"",""Ambient Humidity""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,f5f8040d-5566-413e-b9e8-1f99f8d73e3b,Outside Air Volume,CFM,NUMERIC,UNKNOWN,"Volume of outside air that the system can handle, in cubic feet per minute",,,,"[""External Airflow"",""Ambient Air Capacity""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,090c2b74-6a4f-44d8-a383-5a59076df45f,Sound Traps,,SELECT,UNKNOWN,Sound Traps,,,"[""Yes"",""No""]",[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,a72ff4e5-d518-49e9-b9f7-e3fffcacb15e,Static Pressure,inWC,NUMERIC,UNKNOWN,Static Pressure,,,,[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,35f2c3ea-801e-43bd-a238-a617aed3e8d6,Temperature Control Range,°F,NUMERIC,UNKNOWN,Temperature Control Range,,,,[],[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,daba616a-0e80-4504-9912-1f7aef9fe457,VFD,,SELECT,UNKNOWN,Indicates if the system includes a Variable Frequency Drive,,,"[""Yes"",""No""]","[""Variable Frequency Drive (Yes/No)"",""Variable Speed Drive (Yes/No)""]",[]
Indoor Central-Station Air-Handling Units,e2c6a92a-d155-49c2-9344-099111825947,6b481155-43db-475c-bba0-df96dc6a3fcb,Weight,lb,NUMERIC,UNKNOWN,Weight,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,80c1d530-e777-4cae-85e3-b59b8c18f115,Dimensions,in,NUMERIC,UNKNOWN,Dimensions,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,f49551e0-ac4f-473a-b83d-02bc7b33980d,Electrical Characteristics,V,NUMERIC,UNKNOWN,Electrical Characteristics,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,45be1d61-14b6-4cea-ad5f-c54a3822fe0e,Entering Air Temperature,°F,NUMERIC,UNKNOWN,Entering Air Temperature,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,b3e6a63f-e0bd-44b1-ad76-95cfa9f51e55,Filter Size,in,NUMERIC,UNKNOWN,Filter Size,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,f522d566-0b82-47d5-a242-5b720a96c6d7,Heating Capacity,BTU/h,NUMERIC,UNKNOWN,Heating Capacity,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,c1da8091-aed9-4756-a44e-18c07bf73626,Latent Cooling Capacity,BTU/h,NUMERIC,UNKNOWN,Latent Cooling Capacity,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,536b60ee-bd54-4102-bcf6-d45166989ad9,Leaving Air Temperature,°F,NUMERIC,UNKNOWN,Leaving Air Temperature,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,b855f5bf-ea4a-4c96-a437-4a7242ec0415,Moisture Removal Capacity,pints/day,NUMERIC,PRIMARY_SIZE,"The rate at which the unit can remove moisture from the air under specified conditions, typically measured at AHAM standard conditions (80°F, 60% RH)",,,[],"[""Dehumidification Capacity"",""Water Removal Rate""]","[""liters/day"",""gallons/day"",""kg/h""]"
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,68c002e3-d657-43bf-854e-ae3a4a148d1e,Power Input,kW,NUMERIC,UNKNOWN,Power Input,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,ee812d69-b7b2-4285-9339-484504527949,Sensible Cooling Capacity,BTU/h,NUMERIC,UNKNOWN,Sensible Cooling Capacity,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,a2c11a07-b1c4-4729-b51d-c236ad7d1f07,Sound Power,dBA,NUMERIC,UNKNOWN,Sound Power,,,,[],[]
"Indoor, Mechanical Dehumidification Units",395a6958-e352-45c5-a7a6-9e513191ce3b,a406e4f2-991a-42ce-b500-754d33fd965f,Weight,lbs,NUMERIC,UNKNOWN,Weight,,,,[],[]
Indoor Service Poles,70534bc2-1192-450f-b564-50ad1680d0e0,a693c5c4-513c-46da-a39e-432038c7c5c9,Height,feet,NUMERIC,PRIMARY_SIZE,The vertical length of the service pole from floor to ceiling,,,[],"[""Length"",""Pole Height""]","[""inches"",""meters""]"
Indoor Service Poles,70534bc2-1192-450f-b564-50ad1680d0e0,867214f6-b9c6-4139-8ebe-926530ba25a9,Height,ft,NUMERIC,UNKNOWN,Height,,,,[],[]
Indoor Service Poles,70534bc2-1192-450f-b564-50ad1680d0e0,c1ddee8c-3999-4963-933e-8cbdf0e1563d,Maximum Load,A,NUMERIC,UNKNOWN,Maximum Load,,,,[],[]
Indoor Service Poles,70534bc2-1192-450f-b564-50ad1680d0e0,8b9d8797-174f-4b54-9719-5049f530c6d0,Number of Circuits,count,NUMERIC,UNKNOWN,Number of Circuits,,,,[],[]
Indoor Service Poles,70534bc2-1192-450f-b564-50ad1680d0e0,77e81ef6-32a3-45f6-882e-87f373737712,Pole Diameter,in,NUMERIC,UNKNOWN,Pole Diameter,,,,[],[]
Indoor Service Poles,70534bc2-1192-450f-b564-50ad1680d0e0,e2f92879-c8c0-4d62-8a7c-bac33092b753,Power Capacity,W,NUMERIC,UNKNOWN,Power Capacity,,,,[],[]
Indoor Service Poles,70534bc2-1192-450f-b564-50ad1680d0e0,f7fa9041-c049-4733-bb6a-10183a530a34,Receptacle Quantity,count,NUMERIC,UNKNOWN,Receptacle Quantity,,,,[],[]
Indoor Service Poles,70534bc2-1192-450f-b564-50ad1680d0e0,db31467a-5fd2-474b-a6d5-4dbbea74936a,Wiring Capacity,AWG,NUMERIC,UNKNOWN,Wiring Capacity,,,,[],[]
Induced-Draft Cooling Towers,ad0cfb9a-6fe3-4549-a41d-f1bb24b6ca03,e71c90a6-1f7f-4507-b486-4bd0a8765171,Approach Temperature,°F,NUMERIC,UNKNOWN,Approach Temperature,,,,[],[]
Induced-Draft Cooling Towers,ad0cfb9a-6fe3-4549-a41d-f1bb24b6ca03,0fc21b22-9b2e-49f5-a478-1884c9a6ee64,Cooling Capacity,tons,NUMERIC,PRIMARY_SIZE,The amount of heat the cooling tower can reject or the cooling capacity it can provide,,,[],"[""Heat Rejection Capacity"",""Cooling Load""]","[""BTU/h"",""kW"",""MBTU/h""]"
Induced-Draft Cooling Towers,ad0cfb9a-6fe3-4549-a41d-f1bb24b6ca03,5be5e3e5-1330-48f1-9e4f-89dd72a71101,Drift Rate,%,NUMERIC,UNKNOWN,Drift Rate,,,,[],[]
Induced-Draft Cooling Towers,ad0cfb9a-6fe3-4549-a41d-f1bb24b6ca03,658ba195-2153-49de-8291-7f00897f63a8,Range Temperature,°F,NUMERIC,UNKNOWN,Range Temperature,,,,[],[]
Induction Units,d8f90763-1359-4973-bd7b-c058f0d6beb9,9861a255-2439-41ce-af03-2cdd55f44286,Air Flow Rate,CFM,NUMERIC,UNKNOWN,Air Flow Rate,,,,[],[]
Induction Units,d8f90763-1359-4973-bd7b-c058f0d6beb9,dd73132f-2638-42cc-b2ad-ea0aea93f24e,Coil Rows,count,NUMERIC,UNKNOWN,Coil Rows,,,,[],[]
Induction Units,d8f90763-1359-4973-bd7b-c058f0d6beb9,4ce1df71-59a9-4476-8b31-f062e45e5802,Cooling Capacity,BTU/h,NUMERIC,PRIMARY_SIZE,"The maximum cooling output capability of the induction unit, determining its ability to condition a space",,,[],"[""Cooling Output"",""Capacity""]","[""kW"",""MBH"",""tons""]"
Induction Units,d8f90763-1359-4973-bd7b-c058f0d6beb9,cd44182a-27c9-4029-8945-fced462cb907,Induction Ratio,ratio,NUMERIC,UNKNOWN,Induction Ratio,,,,[],[]
Induction Units,d8f90763-1359-4973-bd7b-c058f0d6beb9,8bebd1bf-1e2e-49ec-85d3-9b95766fcbb7,Noise Level,dBA,NUMERIC,UNKNOWN,Noise Level,,,,[],[]
Induction Units,d8f90763-1359-4973-bd7b-c058f0d6beb9,cb3b2bb8-5131-45cd-b456-8830e06bc91c,Nozzle Size,inches,NUMERIC,UNKNOWN,Nozzle Size,,,,[],[]
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,7954a142-3f06-4cd4-85e2-03379f2d0259,Battery Capacity,kWh,NUMERIC,UNKNOWN,Battery Capacity,,,,[],[]
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,5f16de21-98ab-48cb-8dcd-db5b4bffde0e,Capacity,kWh,NUMERIC,PRIMARY_SIZE,The maximum amount of electrical energy the battery system can store or deliver,,,[],"[""Battery Capacity"",""Power Capacity""]","[""Ah"",""MWh""]"
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,2e25e39e-fb5b-45c9-a34d-ae3adebe417e,Charging Rate,kW,NUMERIC,UNKNOWN,Charging Rate,,,,[],[]
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,25260f4d-543f-4c96-9b25-b5ebd0370b33,Cycle Life,cycles,NUMERIC,UNKNOWN,Cycle Life,,,,[],[]
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,e68eb1ed-57db-4d6d-8ef0-e91673834bda,Depth of Discharge,%,NUMERIC,UNKNOWN,Depth of Discharge,,,,[],[]
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,2466464f-9b50-44a8-93fd-63bae9454056,Dimensions,mm,NUMERIC,UNKNOWN,Dimensions,,,,[],[]
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,749dd2dd-06c6-4cfd-9b97-843c1919197f,Discharge Rate,kW,NUMERIC,UNKNOWN,Discharge Rate,,,,[],[]
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,5d1467eb-3b2c-4313-8bfa-e04a4ef8b7b2,Operating Temperature Range,°C,NUMERIC,UNKNOWN,Operating Temperature Range,,,,[],[]
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,f3fdb896-668f-4789-abc6-fd0b7650a0fd,Response Time,ms,NUMERIC,UNKNOWN,Response Time,,,,[],[]
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,e45e78c5-0749-4cf9-90af-7980e873ee54,Round Trip Efficiency,%,NUMERIC,UNKNOWN,Round Trip Efficiency,,,,[],[]
Industrial Battery Equipment,e3e70180-32e1-4b15-8768-949e74c07dc9,72b4140a-3a24-422d-89bd-63c952b5f539,Weight,kg,NUMERIC,UNKNOWN,Weight,,,,[],[]
In-Line Centrifugal Hydronic Pumps,d3ae6a49-ca2b-47a8-ace8-353607db579f,96f5cbd5-e33b-4545-a1cb-25a88761526e,Flow Rate,GPM,NUMERIC,PRIMARY_SIZE,The volume of fluid that the pump can move per unit of time,,,[],"[""Capacity"",""GPM""]","[""L/s"",""m³/h""]"
In-Line Centrifugal Hydronic Pumps,d3ae6a49-ca2b-47a8-ace8-353607db579f,e5c2aa87-5e79-435b-8318-75701501f57c,Maximum Operating Pressure,PSI,NUMERIC,UNKNOWN,Maximum Operating Pressure,,,,[],[]
In-Line Centrifugal Hydronic Pumps,d3ae6a49-ca2b-47a8-ace8-353607db579f,470d59ad-53da-44bf-b4da-2133ebdb95a5,Power,HP,NUMERIC,UNKNOWN,Power,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,aef25517-2ebb-476d-89eb-d920f189e478,Accuracy,%,NUMERIC,UNKNOWN,Accuracy,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,40e5ea68-c807-49a9-b3a0-178c103a1fd8,Communication Protocol Speed,bps,NUMERIC,UNKNOWN,Communication Protocol Speed,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,54e0980f-b33d-4af8-9cdc-b51f389353a6,Control Range,%,NUMERIC,UNKNOWN,Control Range,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,2baa800f-8d09-4a1b-b8c9-4e93d1957cfd,Control System Capacity,points,NUMERIC,PRIMARY_SIZE,"The number of input/output points the control system can monitor and manage, which directly correlates to the system's capability and cost",,,[],"[""Point Count"",""I/O Count""]","[""I/O""]"
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,b81bf408-18b5-4f7a-ac49-6a7702a983b4,Current Input,mA,NUMERIC,UNKNOWN,Current Input,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,82c55c42-bae9-4fc6-8e77-069cb99d4a32,Measurement Range,V,NUMERIC,UNKNOWN,Measurement Range,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,9dddff4f-fffb-4325-a5e0-e2a269a40c8b,Operating Humidity Range,%RH,NUMERIC,UNKNOWN,Operating Humidity Range,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,d91529a4-8a19-4a48-b83d-e4df71aba37d,Operating Temperature Range,°F,NUMERIC,UNKNOWN,Operating Temperature Range,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,82964a8f-5324-4f9b-b0e4-9269b4021e49,Power Consumption,W,NUMERIC,UNKNOWN,Power Consumption,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,c4680740-f801-4d33-b8a7-7d55b02eb8d1,Protection Rating,IP,NUMERIC,UNKNOWN,Protection Rating,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,30cfa227-cbdd-42e9-a6ce-4f425676c826,Resolution,bits,NUMERIC,UNKNOWN,Resolution,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,db7c5269-1e81-4ecf-85e8-8ddb83cc65c1,Response Time,ms,NUMERIC,UNKNOWN,Response Time,,,,[],[]
Instrumentation and Control for Electrical Systems,d07f608b-5c34-402b-8280-c29e692ba41f,c0b2a7d2-91c7-48b0-bc03-2b1b44cdac76,Voltage Input,V,NUMERIC,UNKNOWN,Voltage Input,,,,[],[]
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,954251f9-d24d-46e0-995d-df57e39718e6,Backup Capacity,hours,NUMERIC,UNKNOWN,Backup Capacity,,,,[],[]
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,fc9d7f3c-c33f-4e24-8336-43ad61a34978,Concurrent Users,users,NUMERIC,UNKNOWN,Concurrent Users,,,,[],[]
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,717c651d-9785-4517-9ec4-82eb6257614c,Data Points,points,NUMERIC,UNKNOWN,Data Points,,,,[],[]
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,c0d17654-be91-4657-82be-08ba134934ef,Data Refresh Rate,Hz,NUMERIC,UNKNOWN,Data Refresh Rate,,,,[],[]
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,90981b86-b5cd-413a-8b64-f749b04ba6a0,Data Storage Capacity,GB,NUMERIC,UNKNOWN,Data Storage Capacity,,,,[],[]
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,99f81411-56a3-411a-b2ac-de1e9a4fa9ce,Network Bandwidth,Mbps,NUMERIC,UNKNOWN,Network Bandwidth,,,,[],[]
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,486dbbdf-69a0-4db2-b39c-ba77ebbb9fdc,Number of Points,points,NUMERIC,PRIMARY_SIZE,The total number of input/output points the building automation system can monitor and control,,,[],"[""Point Count"",""I/O Count""]","[""I/O""]"
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,004bdf6b-d1f5-4ef1-9a41-0bca822c05e3,Power Consumption,W,NUMERIC,UNKNOWN,Power Consumption,,,,[],[]
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,acac6907-4e6a-4554-a976-3044b3c4b73a,Processor Speed,GHz,NUMERIC,UNKNOWN,Processor Speed,,,,[],[]
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,a5bf22d5-8657-4037-924f-712401e096b6,System Memory,GB,NUMERIC,UNKNOWN,System Memory,,,,[],[]
Integrated Automation,d3710bb3-8e96-4c0d-9fee-b5ec74cb7936,20f6bad9-124c-490b-916c-7c0f842d7112,System Response Time,ms,NUMERIC,UNKNOWN,System Response Time,,,,[],[]
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,8b79cda3-d144-419e-b058-cf0560dc6a05,Communication Speed,bps,NUMERIC,UNKNOWN,Communication Speed,,,,[],[]
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,d6833950-610e-4ee6-818e-700d6bd834d9,Control Points,points,NUMERIC,UNKNOWN,Control Points,,,,[],[]
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,f3319ccc-a5dd-4dbc-8651-f4259e4575ca,Display Resolution,pixels,NUMERIC,UNKNOWN,Display Resolution,,,,[],[]
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,71c13045-6eac-42ee-8c78-4dd860b70583,Memory Capacity,KB,NUMERIC,UNKNOWN,Memory Capacity,,,,[],[]
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,6e0d2cbf-5b31-494a-b594-3d28d8df4212,Network Ports,ports,NUMERIC,UNKNOWN,Network Ports,,,,[],[]
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,0e2e4ee7-021e-43bd-b0c8-f05c19d8b553,Operating Humidity Range,%RH,NUMERIC,UNKNOWN,Operating Humidity Range,,,,[],[]
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,f776b408-2ad8-4380-96a7-9c0790c4b67f,Operating Temperature Range,°F,NUMERIC,UNKNOWN,Operating Temperature Range,,,,[],[]
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,12763047-406a-4ecb-b783-154565d79c45,Point Count,points,NUMERIC,PRIMARY_SIZE,The total number of input/output points the control system can monitor and manage,,,[],"[""I/O Count"",""Control Points""]","[""I/O""]"
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,01ff4430-4439-4f22-9343-7083fbdcb187,Response Time,ms,NUMERIC,UNKNOWN,Response Time,,,,[],[]
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,b59ec891-75db-432a-a27d-8d8bf262ef45,Sampling Rate,Hz,NUMERIC,UNKNOWN,Sampling Rate,,,,[],[]
Integrated Automation Control and Monitoring,3d7f0b51-1792-45f0-80c6-6622ce4d2f23,05fc6e6e-c28f-4c2c-947a-73e77cb16582,Voltage Rating,V,NUMERIC,UNKNOWN,Voltage Rating,,,,[],[]
Integrated Automation Control Equipment,2b1c3729-fe4e-4b42-92cf-8507709d56a7,0c7dc7e8-6944-45f8-ab25-0f3695afa2e2,Communication Protocol,BACnet,NUMERIC,UNKNOWN,Communication Protocol,,,,[],[]
Integrated Automation Control Equipment,2b1c3729-fe4e-4b42-92cf-8507709d56a7,6f13781a-d4bd-44da-a7d5-bf4cea44535e,Control Accuracy,%,NUMERIC,UNKNOWN,Control Accuracy,,,,[],[]
Integrated Automation Control Equipment,2b1c3729-fe4e-4b42-92cf-8507709d56a7,9fb0fc20-baaa-45fd-aff3-d2c07fc3db2f,Control Points,points,NUMERIC,PRIMARY_SIZE,"The number of input/output points the control equipment can manage, which determines the controller's capacity and processing requirements",,,[],"[""I/O Points"",""Data Points""]","[""count""]"
Integrated Automation Control Equipment,2b1c3729-fe4e-4b42-92cf-8507709d56a7,56d0d7c5-c9f9-4703-819f-caf21f3928e9,Input Channels,count,NUMERIC,UNKNOWN,Input Channels,,,,[],[]
Integrated Automation Control Equipment,2b1c3729-fe4e-4b42-92cf-8507709d56a7,e6a21c86-88d8-414d-8418-59bcd588684d,IP Rating,IP,NUMERIC,UNKNOWN,IP Rating,,,,[],[]
Integrated Automation Control Equipment,2b1c3729-fe4e-4b42-92cf-8507709d56a7,dcd37f45-ecf0-4cd6-8f40-78d00123ae52,Network Speed,Mbps,NUMERIC,UNKNOWN,Network Speed,,,,[],[]
